game_date,attendance
1969-09-06,5488.0
1969-09-03,6720.0
1969-08-30,10308.0
1969-08-27,8967.0
1969-08-23,6639.0
1969-08-16,5368.0
1969-08-13,4955.0
1969-08-09,5381.0
1969-04-24,2861.0
1969-04-21,2569
1969-04-18,6723.0
1969-04-16,10960
1969-04-12,3648
1969-04-07,8022.0
1969-04-05,4487
1969-03-29,6529.0
1969-03-25,4412
1969-03-21,3829.0
1969-03-17,3035
1969-03-14,4253
1969-03-11,13335
1969-03-07,4843
1969-03-03,3328
1969-03-01,3860
1969-02-22,12616
1969-02-18,19916
1969-01-31,6802
1969-01-24,8353
1969-01-18,5780
1969-01-10,5604
1969-01-04,8096
1968-12-26,6609.0
1968-12-20,4502.0
1968-12-14,3673.0
1968-11-29,4355.0
1968-11-22,8256
1968-11-16,8606
1968-11-08,7508
1968-11-02,6115
1968-10-25,6879
1968-10-19,7359.0
1968-10-14,6482
1968-10-11,7136.0
1968-10-07,6420
1968-10-05,5456.0
1968-09-28,4009
1968-09-20,5016
1968-09-16,7462.0
1968-09-14,12965.0
1968-09-09,8856
1968-09-06,7756.0
1968-09-03,35477
1968-08-31,7181.0
1968-08-28,13017
1968-08-26,13627
1968-08-23,8097
1968-08-21,11478
1968-08-17,10563
1968-08-13,7944
1968-08-10,6926
1968-03-09,61982
1968-01-27,20038
1968-01-06,4937
1967-12-09,5179
1967-09-13,10178
1967-08-23,6729
1967-01-07,9568
1966-11-28,14306
1966-11-26,9928
1966-09-21,5422
1966-09-14,6076
1966-08-24,6600
1965-11-13,10848.0
1965-09-01,5057.0
1965-04-27,8675.0
1965-04-24,4081.0
1965-04-21,12806.0
1965-04-17,9982.0
1965-04-16,17430.0
1965-04-10,24017.0
1965-04-02,12143.0
1965-03-29,15484.0
1965-03-26,13444.0
1965-03-19,11210.0
1965-03-13,3820.0
1965-02-27,3435.0
1965-02-19,12718.0
1965-02-12,11725.0
1965-02-06,11084.0
1965-01-29,13035.0
1965-01-23,4578.0
1965-01-15,10128.0
1965-01-09,9309.0
1965-01-02,7313.0
1964-12-28,5182.0
1964-12-26,13497.0
1964-12-18,8080.0
1964-12-12,1693.0
1964-11-27,13257.0
1964-11-20,5553.0
1964-11-18,5526.0
1964-11-14,11524.0
1964-11-06,6563.0
1964-10-30,12004.0
1964-10-26,10177.0
1964-10-24,12076.0
1964-10-19,12699.0
1964-10-16,10268.0
1964-10-10,8753.0
1964-10-05,6340.0
1964-10-03,7434.0
1964-09-30,5530.0
1964-09-25,15337.0
1964-09-23,11098.0
1964-09-18,11861.0
1964-09-14,9802.0
1964-09-12,4265.0
1964-09-07,6357.0
1964-09-04,11407.0
1964-09-02,4199.0
1964-08-31,11715.0
1964-08-29,6007.0
1964-08-27,7694.0
1964-08-22,7800.0
1964-04-29,4518.0
1964-04-25,5111.0
1964-04-17,6754.0
1964-04-11,6840.0
1964-04-03,5810.0
1964-03-30,3154.0
1964-03-28,7408.0
1964-03-27,7321.0
1964-03-23,2587.0
1964-03-20,5569.0
1964-03-14,1807.0
1964-03-06,8417.0
1964-02-21,6560.0
1964-02-14,8333.0
1964-02-08,8166.0
1964-01-31,7126.0
1964-01-25,8259.0
1964-01-18,3404.0
1964-01-10,6361.0
1964-01-03,4815.0
1964-01-01,8504.0
1963-12-28,3334.0
1963-12-26,6008.0
1963-12-21,6671.0
1963-12-14,3513.0
1963-11-29,3781.0
1963-11-23,5384.0
1963-11-16,5622.0
1963-11-09,4178.0
1963-11-02,5090.0
1963-10-28,5471.0
1963-10-25,5080.0
1963-10-23,5797.0
1963-10-18,8341.0
1963-10-16,12985.0
1963-10-12,3731.0
1963-10-07,6008.0
1963-10-05,4093.0
1963-09-30,8414.0
1963-09-27,10277.0
1963-09-25,8800.0
1963-09-21,7329.0
1963-09-16,4513.0
1963-09-13,11434.0
1963-09-09,4417.0
1963-09-07,5715.0
1963-09-04,5956.0
1963-08-30,9086.0
1963-08-26,9667.0
1963-08-24,7756.0
1963-05-23,2385.0
1963-05-18,2028.0
1963-05-13,5537.0
1963-05-11,3182.0
1963-05-07,3183.0
1963-05-04,4558.0
1963-05-01,4199.0
1963-04-27,5627.0
1963-04-25,5928.0
1963-04-22,7268.0
1963-04-20,4705.0
1963-04-13,5761.0
1963-04-12,10738.0
1963-04-06,13383.0
1963-04-04,5373.0
1963-03-30,8819.0
1963-03-25,7733.0
1963-03-23,7921.0
1963-03-16,8316.0
1963-03-11,8672.0
1963-03-09,4300.0
1963-03-04,8232.0
1963-03-02,7300.0
1963-02-27,10215.0
1963-01-30,20505.0
1963-01-05,17162.0
1962-12-15,4680.0
1962-12-10,4536.0
1962-12-08,2742.0
1962-12-01,6498.0
1962-11-24,9557.0
1962-11-10,3784.0
1962-11-03,11448.0
1962-10-27,6383.0
1962-10-24,4676.0
1962-10-20,9520.0
1962-10-13,4753.0
1962-10-06,8272.0
1962-10-01,9596.0
1962-09-29,5712.0
1962-09-21,11928.0
1962-09-17,10395.0
1962-09-15,5032.0
1962-09-10,10205.0
1962-09-08,6143.0
1962-09-03,5546.0
1962-09-01,4861.0
1962-08-28,3404.0
1962-08-25,6499.0
1962-08-20,9329.0
1962-08-18,5549.0
1962-04-28,3311.0
1962-04-23,7740.0
1962-04-21,3720.0
1962-04-20,7238.0
1962-04-14,4801.0
1962-04-11,7218.0
1962-04-07,4385.0
1962-03-31,10340.0
1962-03-26,6875.0
1962-03-24,5850.0
1962-03-17,3500.0
1962-03-12,6320.0
1962-03-09,7933.0
1962-03-03,2543.0
1962-02-23,7214.0
1962-02-17,6461.0
1962-02-09,7371.0
1962-02-03,3622.0
1962-01-19,8506.0
1962-01-13,4121.0
1962-01-06,6785.0
1961-12-26,2811.0
1961-12-09,6684.0
1961-12-02,2872.0
1961-11-24,7859.0
1961-11-18,8666.0
1961-11-11,6118.0
1961-11-04,6788.0
1961-10-28,8276.0
1961-10-21,7066.0
1961-10-14,8155.0
1961-10-10,11560.0
1961-10-07,8003.0
1961-10-02,10050.0
1961-09-30,5861.0
1961-09-25,14831.0
1961-09-23,9182.0
1961-09-20,16507.0
1961-09-16,7889.0
1961-09-13,9077.0
1961-09-09,6438.0
1961-09-04,10387.0
1961-09-01,9728.0
1961-08-28,11454.0
1961-08-26,7577.0
1961-08-23,7479.0
1961-04-29,7076.0
1961-04-24,12082.0
1961-04-22,9748.0
1961-04-15,8504
1961-04-08,11416.0
1961-04-03,8255
1961-04-01,6141.0
1961-03-31,15357
1961-03-24,12260
1961-03-18,6117
1961-03-11,11299
1961-03-04,4607
1961-02-27,11477
1961-02-25,9226.0
1961-02-18,10347
1961-02-11,9611
1961-02-04,9300
1961-01-28,3950
1961-01-21,6433
1961-01-14,6905
1961-01-02,3816.0
1960-12-31,12613
1960-12-27,7838
1960-12-26,14029
1960-12-21,14976
1960-12-19,5584
1960-12-10,5668.0
1960-12-05,10724
1960-12-03,4921.0
1960-11-30,11226
1960-11-19,9967.0
1960-11-16,7052
1960-11-12,7761.0
1960-11-05,8383
1960-10-29,8981
1960-10-24,8208
1960-10-22,4569
1960-10-15,7827
1960-10-08,5152.0
1960-10-01,9510
1960-09-26,9262.0
1960-09-24,10721
1960-09-22,4317.0
1960-09-17,8792
1960-09-12,9068
1960-09-10,5065
1960-09-05,10665
1960-09-03,8029
1960-08-31,10781
1960-08-27,7653
1960-08-22,11105
1960-08-20,10267
1960-04-30,5161.0
1960-04-25,10847.0
1960-04-23,8596.0
1960-04-18,10524.0
1960-04-16,8915.0
1960-04-15,10438.0
1960-04-09,6274.0
1960-04-02,5402.0
1960-03-28,9436.0
1960-03-19,18576.0
1960-03-12,8715.0
1960-03-05,6857.0
1960-02-29,9768.0
1960-02-27,8053.0
1960-02-22,8909.0
1960-02-13,5019.0
1960-01-30,9175.0
1960-01-23,10831.0
1960-01-16,9706.0
1960-01-02,8650.0
1959-12-28,8920.0
1959-12-26,10077.0
1959-12-19,2343.0
1959-12-12,5204.0
1959-11-28,7927.0
1959-11-21,5420.0
1959-11-14,14205.0
1959-11-07,5605.0
1959-10-31,9004.0
1959-10-24,10039.0
1959-10-17,8532.0
1959-10-12,9134.0
1959-10-10,11481.0
1959-10-05,18854.0
1959-10-03,9974.0
1959-09-28,10064.0
1959-09-26,11252.0
1959-09-21,4683.0
1959-09-19,13462.0
1959-09-14,13734.0
1959-09-12,12835.0
1959-09-07,7826.0
1959-09-05,11635.0
1959-08-31,17580.0
1959-08-29,11960.0
1959-08-26,31527.0
1959-08-22,12537.0
1958-12-06,12477.0
1958-11-15,12770.0
1958-01-04,13394.0
1957-12-07,6928.0
1957-11-16,9283.0
1956-11-17,8000.0
1955-12-10,7355.0
1955-11-19,4074.0
1954-11-23,5621.0
1954-11-20,8972.0
1954-01-14,14249
1954-01-09,12394
1953-12-16,7789
1953-12-12,14390
1953-11-21,9701
1952-12-06,11297.0
1952-11-22,10038.0
1952-01-12,30314
1952-01-07,25191
1952-01-03,3500
1951-12-19,9388
1951-12-15,9922
1951-11-24,8290
1950-12-09,10096.0
1950-11-25,12212.0
1949-12-10,14716.0
1949-11-26,9664.0
1948-11-27,10659.0
1947-12-13,15000.0
1947-11-29,8800.0
1946-11-30,12800.0
1945-12-15,6400.0
1945-12-08,5000.0
1945-11-24,9018.0
1945-11-17,7629.0
1939-01-10,10000.0
1938-01-08,16131.0
1937-12-11,7994.0
1937-11-27,8658.0
1936-11-28,7769.0
1936-01-25,22217
1936-01-15,15100
1936-01-11,25153
1935-12-14,10293
1935-11-30,6992
1934-12-08,12000.0
1934-11-24,5869.0
1934-01-13,13533.0
1933-12-09,7500.0
1933-11-25,6000.0
1933-02-01,25600
1933-01-28,16417
1933-01-14,12000
1932-12-14,6793
1932-12-10,10000
1932-11-26,7895
1931-12-12,8316.0
1931-11-28,5128.0
1930-12-03,11000.0
1930-11-29,10000.0
1929-12-05,4882.0
1929-11-30,5500.0
1928-12-08,9990.0
1928-11-24,4673.0
1928-01-14,17019.0
1927-12-10,8554.0
1927-11-26,7031.0
1926-12-02,6000.0
1926-11-27,5731.0
1925-12-02,3500.0
1925-11-28,7942.0
1925-05-02,3000.0
1925-04-25,4000.0
1925-04-22,2000.0
1925-04-18,4000.0
1925-04-14,2000.0
1925-04-13,6000.0
1925-04-11,6000.0
1925-04-10,9000.0
1925-04-04,4000.0
1925-03-28,5000.0
1925-03-21,6000.0
1925-03-18,2000.0
1925-03-14,5063.0
1925-03-07,6000.0
1925-03-04,4000.0
1925-02-28,4771.0
1925-02-21,4000.0
1925-02-14,5000.0
1925-02-07,4000.0
1925-01-31,3000.0
1925-01-24,6000.0
1925-01-17,5000.0
1925-01-10,4000.0
1925-01-01,11665.0
1924-12-27,4000.0
1924-12-26,16500.0
1924-12-20,4000.0
1924-12-06,5000.0
1924-12-03,5000.0
1924-11-29,9367.0
1924-11-22,7000.0
1924-11-19,4000.0
1924-11-15,7000.0
1924-11-08,8000.0
1924-11-01,6000.0
1924-10-25,6000.0
1924-10-18,6000.0
1924-10-11,6000.0
1924-10-04,7000.0
1924-10-02,3000.0
1924-09-27,5000.0
1924-09-20,10000.0
1924-09-13,3000.0
1924-09-06,8000.0
1924-09-01,6000.0
1924-08-30,6000.0
1924-05-03,11965.0
1924-04-28,8000.0
1924-04-26,13000.0
1924-04-22,6000.0
1924-04-21,8000.0
1924-04-19,8000.0
1924-04-18,11000.0
1924-04-12,3200.0
1924-04-05,5000.0
1924-03-29,4565.0
1924-03-22,6000.0
1924-03-15,8000.0
1924-03-08,5000.0
1924-03-01,3000.0
1924-02-23,6000.0
1924-02-16,5000.0
1924-02-09,4000.0
1924-02-02,5000.0
1924-01-26,2554.0
1924-01-19,5000.0
1924-01-12,5000.0
1924-01-05,6000.0
1924-01-01,6000.0
1923-12-26,8000.0
1923-12-25,6000.0
1923-12-22,3000.0
1923-12-08,8000.0
1923-12-08,7000.0
1923-12-05,6000.0
1923-12-01,13352.0
1923-11-24,8000.0
1923-11-17,5000.0
1923-11-10,4774.0
1923-11-03,6000.0
1923-10-27,5000.0
1923-10-20,8000.0
1923-10-13,15416.0
1923-10-06,13112.0
1923-09-29,4000.0
1923-09-22,7000.0
1923-09-15,9300.0
1923-09-08,8000.0
1923-09-06,7000.0
1923-09-01,10000.0
1923-08-27,10000.0
1923-08-25,8000.0
1923-04-28,3000.0
1923-04-21,6000.0
1923-04-14,2000.0
1923-04-07,7000.0
1923-04-02,8000.0
1923-03-30,13727.0
1923-03-24,7000.0
1923-03-17,6150.0
1923-03-10,4000.0
1923-03-03,4000.0
1923-02-24,4417.0
1923-02-17,6000.0
1923-02-10,3500.0
1923-02-03,6000.0
1923-01-27,5000.0
1923-01-20,5000.0
1923-01-13,4000.0
1923-01-06,4000.0
1923-01-01,9000.0
1922-12-30,8000.0
1922-12-26,6200.0
1922-12-25,7000.0
1922-12-23,4000.0
1922-12-09,12000.0
1922-12-04,4000.0
1922-11-25,2500.0
1922-11-18,3000.0
1922-11-11,5841.0
1922-11-04,4000.0
1922-10-28,7000.0
1922-10-21,6000.0
1922-10-14,7000.0
1922-10-07,8000.0
1922-09-30,5000.0
1922-09-23,10000.0
1922-09-16,6000.0
1922-09-09,5000.0
1922-09-02,6000.0
1922-08-26,7512.0
1922-04-29,3000.0
1922-04-22,3700.0
1922-04-18,10000.0
1922-04-17,6000.0
1922-04-15,6000.0
1922-04-14,8000.0
1922-04-08,1500.0
1922-04-01,3000.0
1922-03-25,4000.0
1922-03-18,4000.0
1922-03-04,4200.0
1922-02-25,5000.0
1922-02-18,4000.0
1922-02-11,6000.0
1922-02-04,3000.0
1922-01-28,5000.0
1922-01-21,4000.0
1922-01-14,7000.0
1921-12-31,6000.0
1921-12-27,7000.0
1921-12-26,8000.0
1921-12-24,8000.0
1921-12-17,8000.0
1921-12-10,5000.0
1921-11-26,6000.0
1921-11-24,4000.0
1921-11-19,2000.0
1921-11-12,8000.0
1921-11-05,10000.0
1921-10-29,6000.0
1921-10-22,5000.0
1921-10-15,6000.0
1921-10-08,6000.0
1921-10-01,8000.0
1921-09-24,7000.0
1921-09-17,11000.0
1921-09-10,8446.0
1921-09-03,8000.0
1921-08-27,7011.0