old_name,new_name
"Boreham W","Boreham Wood"
"Ebbsfleet","Ebbsfleet United"
"Hartlepool","Hartlepool United"
"Solihull M","Solihull Moors"
"Halifax","F.C. Hailfax Town"
"Dover","Dover Athletic"
"Aldershot","Aldershot Town"
"Dag & Red","Dagenham and Redbridge"
"Maidstone","Maidstone United"
"Macclesfield","Macclesfield Town"
"Maidenhead","Maidenhead United"
"Guiseley","Guiseley AFC"
"Sutton Utd","Sutton United"
"Torquay","Torquay United"
"Peterborough","Peterborough United"
"Forest Green","Forest Green Rovers"
"Braintree","Braintree Town"
"Nth Ferriby","North Ferriby"
"Chelmsford","Chelmsford City"
"Lincoln","Lincoln City"
"York","York City"
"Grimsby","Grimsby Town"
"Welling","Welling United"
"Kidderminster","Kidderminster Harriers"
"Cheltenham","Cheltenham Town"